text,language,split
"그러나 90년대로 접어들면서 이야기는 달라졌다. 렌도이로 구단주의 취임과 함께 신흥강호로 급부상한 셀타의 '더비 라이벌' 데포르티보 라 코루냐는 99/00 시즌에 갈리시아 지방에 첫 우승컵을 안겨주는 쾌거를 이룩했고, 셀타 비고 또한 90년대 후반부터 스페인의 새로운 강팀으로 자리를 잡는데 성공했다.",kor,train
ニュージーランド労働党に所属し、1975年にオークランド・セントラル地区より出馬し、国会議員に初当選する。ロジャー・ダグラスの改革路線に賛同しダグラスと活動を共にする。1984年の総選挙で労働党は勝利し、ダグラスは財務大臣に就任。プレブルは財務副大臣、鉄道大臣、運輸大臣に就任しロジャーノミクスに参画する。政策立案を中心的に取りまとめたプレブル、ダグラスと後に財務大臣を務めたディヴィッド・ケイギルの3人を合わせ“トロイカ”と呼ばれた。,jpn,train
"Castle's Tematic division was dramatically closed in September 2005. As of December 2005, RISCOS Ltd are still trading under the name RISCOS Ltd.",eng,train
"Sus mejores logros los consiguió en la Ruta del Sur de 1995, donde finalizó segundo de la general tras el suizo Laurent Dufaux y su participación en el Tour de Francia de ese mismo año.",spa,train
La Compañía de San Pablo (C.S.P) es un instituto secular de derecho pontificio fundado en 1920 por el presbítero Juan Rossi con la aprobación del Cardenal Carlos Andrés Ferrari quien fuera Arzobispo de Milán.[2]​ Se define a sí misma como una comunidad constituida por laicos y sacerdotes que animados del espíritu de San Pablo intentan vivir una total donación de sí mismos a Dios participando de la misión evangelizadora de la Iglesia. Los miembros del instituto son conocidos como paolinos.[3]​,spa,train
"Page was first attracted to computers when he was six years old, as he was able to ""play with the stuff lying around""—first-generation personal computers—that had been left by his parents. He became the ""first kid in his elementary school to turn in an assignment from a word processor"". His older brother also taught him to take things apart and before long he was taking ""everything in his house apart to see how it worked"". He said that ""from a very early age, I also realized I wanted to invent things. So I became really interested in technology and business. Probably from when I was 12, I knew I was going to start a company eventually.""",eng,train
《편년통록》 등에 의하면 왕건의 할아버지 작제건은 당나라 숙종의 아들이라고 사칭했다. 《고려사》에 따르면 충선왕(忠宣王)이 왕자로 원(元)나라에 가 있을 때 원나라 한림학사(翰林學士) 한 사람이 충선왕과 교제를 하고 있었는데 그는 충선왕에게 다음과 같이 질문을 하였다. “듣건대 그대의 조상은 당나라 숙종(755~762)에게서 태어났다고 하는데 어디에 근거가 있어서 나온 말인가? 사실 숙종은 어려서부터 한 번도 대궐 밖으로 나간 일이 없다고 하였다. 그리고 안록산(安祿山)의 난(亂)이 있을 때 영무(靈武)에서 즉위하였는데 어느 겨를에 당신의 나라 고려에 가서 자식까지 두었다는 것인가?” 이 말에 충선왕은 부끄러워 대답을 하지 못하였다.,kor,train
"Bruce Feirstein (born 1956), screenwriter and journalist best known for his screenplays for the James Bond films GoldenEye, Tomorrow Never Dies and The World Is Not Enough, and his best selling humor books, including Real Men Don't Eat Quiche.",eng,train
"""Dream Warriors"" is a song written by Dokken members George Lynch & Jeff Pilson for the movie A Nightmare on Elm Street 3: Dream Warriors. The song was released as a single in 1987, charting at number 22 on the Hot Mainstream Rock Tracks chart, and was also released on Dokken's fourth album, Back for the Attack.",eng,train
"El artículo 58 también se aplicaba fuera de la Unión Soviética. En la zona de ocupación soviética de Alemania las personas fueron internadas como ""espías"" por presunta oposición al régimen estalinista, por ejemplo para los contactos con organizaciones basadas en las zonas de ocupación occidentales, sobre la base del artículo 58 del Código Penal soviético.[1]​ En el campamento especial del NKVD en Bautzen, el 66% de los reclusos pertenecían a esta categoría.[1]​",spa,train
小说在出版之后的两年内共售出精装本逾7万册，平装本125万册。精装本于2003年出版，当时的销量已经很好，然而到2004年平装本正式出版后，各个读书俱乐部在这时接触到了这本书，小说才真正地大规模流行起来。2004年，小说首次进入畅销书排行榜，2005年3月成为《纽约时报》畅销书冠军，并保持了两年之久。截至2013年，胡赛尼出版自己的第三部小说《群山回唱》时，《追风筝的人》在美国已经售出逾700万册。《追风筝的人》于2004年获得南非英语小说界的重要奖项布克奖（Boeke Prize）。2006年，小说获得英国企鹅出版集团和电信运营商奥兰治公司共同赞助的“企鹅/奥兰治读书社奖”（Penguin/Orange Reading Group Prize），在该奖项全部60部参评图书中排名第一；还在2006年和2007年连续两年被读者票选为英国“读书社年度图书”（Reading Group Book of the Year）。,zho,train
處所建立者。於欲界中有三十六處。謂八大那落迦。何等爲八。一等活。二黑繩。三眾合。四號叫。五大號叫。六燒熱。七極燒熱。八無間。此諸大那落迦處。廣十千踰繕那。此外復有八寒那落迦處。何等爲八。一皰那落迦。二皰裂那落迦。三喝哳詀那落迦。四郝郝凡那落迦。五虎虎凡那落迦。六青蓮那落迦。七紅蓮那落迦。八大紅蓮那落迦。從此下三萬二千踰繕那。至等活那落迦。從此復隔四千踰繕那。有餘那落迦。如等活大那落迦處。初寒那落迦處亦爾。從此復隔二千踰繕那。有餘那落迦應知。又有餓鬼處所。又有非天處所。傍生即與人天同處。故不別建立。復有四大洲如前說。復有八中洲。又欲界天有六處。一四大王眾天。二三十三天。三時分天。四知足天。五樂化天。六他化自在天。復有摩羅天宮。即他化自在天攝。然處所高勝。復有獨一那落迦近邊那落迦。即大那落迦及寒那落迦。以近邊故不別立處。又於人中亦有一分獨一那落迦可得。如尊者取菉豆子說。我見諸有情。燒然。極燒然。遍極燒然總一燒然。聚如是等三十六處。總名欲界。,kor,train
"2002년 울산 현대에서 데뷔하여, 팀의 K리그 1회 우승 (2005년), K리그 2회 준우승 (2002년, 2003년)에 공헌하였다. 2006년 1월 러시아 프리미어리그 팀 FC 제니트 상트페테르부르크로 이적하여 활약하였고, 2005-06시즌 UEFA컵 본선 무대에 진출하여 로센보르그 BK와의 32강전 2차전에서 데뷔하였다. 세비야 FC와의 8강전 2차전에서 1골을 기록하는 등 좋은 활약을 펼쳤지만, 통역 과정에서 오해가 발생하여 교체되기도 하였다. 하지만 자신에게 계속 러브콜을 보냈던 블라스티밀 페트르옐라 감독이 성적 부진으로 경질된 뒤 아드보카트 감독이 새로 부임하자 거의 출전하지 못하였고, 2007년 친정 팀 울산 현대로 복귀하였다. 울산 현대로 복귀한 뒤 2007년 하우젠 컵 우승 등에 공헌하였으며 2010년 김치곤을 상대로 FC 서울로 트레이드되었다.",kor,train
"2012년 5월, 유벤투스와 가진 코파 이탈리아 결승전에서 함식은 2-0으로 달아날 수 있는 기회의 페널티킥을 차게 된다. 이번에는 실수하지 않았다. 나폴리는 2-0으로 승리하였고 코파 이탈리아 우승 트로피를 손에 넣었다. 이것은 25년 만에 나폴리가 들어올린 우승컵이었다. 나폴리는 그의 활약과 함께, 챔피언스 리그 16강, 세리에A 5위, 그리고 코파 이탈리아 우승으로 시즌을 마감하였다.",kor,train
"Liu Xianying –en chino, 刘 显英– (Ji'an, 8 de julio de 1977) es una deportista china que compitió en biatlón, ganadora de una medalla de plata en el Campeonato Mundial de Biatlón de 2005, en la prueba de 10 km persecución.[1]​",spa,train
"""Always on Time"" is the second single by American rapper Ja Rule from his third studio album, Pain Is Love. The song would feature American R&B singer Ashanti, and was produced by Irv Gotti. The song was written by 7 Aurelius, Ja Rule and Irving Lorenzo. The song became a worldwide hit and was Ashanti's first Hot 100 number one single and Ja Rule's second.",eng,train
"전쟁노래 부족(Warsong Clan) : 그롬마쉬 ""그롬"" 헬스크림이 이끄는 부족이며 역시 문명화된 부족이다. 2차 대전쟁 때 혈엄동굴 부족과 함께 넬쥴의 명령을 따라 얼라이언스 연합과 싸우지만, 대패하여 이들 부족원 대부분은 노약자나 아이들, 부녀자들밖에 남지 않아 궤멸할 위기에 처하지만, 나중에 오그림 둠해머가 이끄는 호드에 합류해서 던홀드 요새를 함락시키고 그곳에 수용되어 있던 많은 오크 병사들을 부족원들로 합류시켜 다시금 발전한다. 서리늑대 부족과 마찬가지로 로데론이 언데드 스컬지에 의해 붕괴될 때 부족을 이끌고 칼림도어의 배렌스로 피신한 덕분에 큰 위기를 모면했으며 중반에 불타는 군단의 만노로스에 의해 지배당해 동족상잔을 일으켰으나, 나중에 그롬의 영웅적인 희생으로 완전히 해방된다. 현재 그롬의 아들 가로쉬가 다스리고 있는 부족이다.",kor,train
"Inclusive Democracy as a political project for a new libertarian synthesis : rationale, proposed social structure and transition. Talk at the CNT centenary conference on self-management, Barcelona (April 10, 2010).",eng,train
根据2010年第六次全国人口普查，全市常住人口为3126463人，同第五次全国人口普查相比，十年共增加49728人，增长1.62%，年平均增长率为0.16%。其中，男性人口为1566255人，占50.10%；女性人口为1560208人，占49.90%。总人口性别比（以女性为100）为100.39。0－14岁人口为360266人，占11.52%；15－59岁人口为2257080人，占72.19%；60岁及以上人口为509117人，占16.29%，其中65岁及以上人口为336868人，占10.77%。居住在城镇的人口为1495839人，占47.84%；居住在乡村的人口为1630624人，占52.16%。,zho,train
2009年初めにクイックサンドのセルジオ・ベガがベーシストとして加入、ライヴ活動もバンドとともに行う。フー・ファイターズ、ヴェルヴェット・リヴォルヴァーとの仕事で知られるニック・ラスクリネクスをプロデューサーに迎え、新作のレコーディングを開始した。新作にはPro Toolsが使われず、以前より生々しいバンドサウンドを獲得した。,jpn,train
電磁學描述帶電粒子與電場、磁場的交互作用。電磁學的分支有靜電學、靜磁學、電動力學等等。靜電學研究靜止帶電粒子彼此之間的交互作用。靜磁學研究所有涉及常定磁場的現象。電動力學研究所有涉及加速度帶電粒子、電磁輻射、時變電場與時變磁場的現象。經典電磁學的基礎理論是馬克士威方程式與勞侖茲力方程式。光波是电磁波的一種，可由帶電粒子的加速度運動產生。,zho,train
"Le village possède en outre un complexe sportif, avec un terrain d'honneur, un terrain de football, un dojo, un skatepark, un terrain de bicross, un plateau d'évolution et un terrain d'aventure.",fra,train
クシャーナ朝の旧領土はサーサーン朝の支配下においては「クシャーン・シャー」（クシャーナ王）と称するサーサーン朝の王族によって統治された。これは通例クシャーノ・サーサーン朝（クシャノササン朝）と呼ばれる。クシャーノ・サーサーン朝が発行したコインなどはサーサーン朝様式よりもクシャーナ朝の様式に近く、おそらくは多くの面においてクシャーナ朝の要素を継承したと考えられる。このようにクシャーナ朝の権威は滅亡した後も長く現地に残ったのであった。,jpn,train
2003年，Jessie J十五歲時，她贏得了電視秀英國傑出天才大賽中「最佳流行歌手」的獎項。16 歲時，開始就讀英國倫敦表演藝術學校（The BRIT School）。並在17歲加入一個女子團體靈魂深處（Soul Deep）。2006年，與愛黛兒 及里歐娜同年畢業於表演藝術學校。,zho,train
記憶喪失者が保護された場合、警察が身元を調べて家族の元へ返すのが普通であるが、ごくまれに記憶喪失者の身元が全く判明しない場合がある。このような場合には取りあえずは生活保護を受けるなどして治療を行うが、長期間に渡って記憶が回復せず、身元も不明な場合には家庭裁判所に就籍許可申立を行い、仮名での戸籍を作ることができる。なお、本来は記憶喪失者を想定した制度ではなく捨て子や迷子などの身元不明者のための制度である。,jpn,train
"Dans le cadre des dispositions de la loi portant nouvelle organisation territoriale de la République (Loi NOTRe) du 7 août 2015, qui prévoit que les établissements publics de coopération intercommunale (EPCI) à fiscalité propre doivent avoir un minimum de 15 000 habitants, le préfet du Pas-de-Calais a publié le 12 octobre 2015 un projet de schéma départemental de coopération intercommunale qui prévoyait diverses fusion d'intercommunalité.",fra,train
"加拿大國家電視塔由加拿大國家鐵路公司建造於1976年，目的是顯示加拿大強大的工業。最初只是被設計為傳送廣播電視信號的天線，305米高度處有用於傳送預告信號的微波接收器。而廣播天線位於塔的最頂端。電視塔內建有高447米的金屬階梯，有1,776級，是世界上最高的金屬階梯。這些階梯用於緊急用途。",zho,train
"On the first anniversary of September 11th, the Sacramento News & Review brought together musical acts from different faith groups around Sacramento for a Call For Unity Event to symbolize the city's acceptance of racial and religious diversity. Every year someone in the region was honored with a Building Unity Award for their interfaith work in Sacramento, until 2008, when the last Call for Unity event was held.",eng,train
"Le diagnostic est suspecté par l'examen abdominal systématique puis par l'imagerie médicale en commençant par l'échographie. Le scanner (ou parfois l'IRM) est indispensables dans un deuxième temps. Mais le diagnostic définitif repose sur l'examen anatomo-pathologique (histologie de la tumeur retirée lors de la chirurgie ou plus rarement la biopsie). Dans 10 à 15 % des cas, la tumeur de Wilms est considérée comme héréditaire.",fra,train
"Le pays de France a connu une occupation humaine dès le paléolithique inférieur, les chasseurs-cueilleurs ont laissé quelques traces, essentiellement des bifaces et racloirs, retrouvés dans les communes voisines de Gonesse ou Louvres. Les cultures néolithiques ont occupé le site comme l'attestent deux haches polies, une hache taillée ainsi que quelques perçoirs ou grattoirs retrouvés sur le territoire de la commune dans les années 1950. Des fragments de céramique gauloise datés du Ier siècle av. J.-C. au début du Ve siècle ont également été trouvés attestant d'une occupation du lieu durant l'Antiquité et la probable présence d'au moins un établissement antique. Plus de vingt exploitations agricoles et trois petites agglomérations ainsi que trois places fortifiées et un cimetière antique ont été mis au jour dans le pays de France dans son ensemble.",fra,train
"[답] 여기서는 열반을 말하지 않아야 한다. 다만 중생이 과보로서 머무를 곳만을 분별해야 하나니, 열반은 [세간의 선의] 과보가 아니기 때문이다. 착한 법에는 두 가지가 있다. 첫째는 [출세간의 선인] 37품(三十七品)으로는 열반에 이르게 하고, 둘째는 [세간의 선으로] 뒷세상[後世, 즉 내생]에서 즐거움[樂]을 내게 하는 것이다. 지금은 다만 [뒷세상에서] 몸을 받는 착한 법을 말할 뿐이요 열반에 이르는 착한 법은 말하지 않는다.세간의 선(善)에는 세 가지가 있다. 위 갈래[上分, 즉 상품]의 인연(因緣: 직접적 · 간접적 원인) 때문에 천도(天道)의 과보가 있고, 중간 갈래[中分, 즉 중품]의 인연 때문에 인도(人道)의 과보가 있으며, 아래 갈래[下分, 즉 하품]의 인연 때문에 아수라도(阿修羅道)의 과보가 있다.",kor,train
アーデルハイトと夫との夫婦生活は幸福だった。姑のアウグステ・ヴィクトリア皇后はアーデルハイトに自分の慈善事業を手伝わせ、アーデルハイトは1918年に開設されたベルヒテスガーデン海軍病院の監督を任された。ドイツ革命により君主制が倒れると、アーダルベルト王子とその家族は、バート・ホンブルク・フォア・デア・ヘーエに建つ、アーデルハイトの名前にちなんだヴィラ・アーデルハイツヴェルト（Villa Adelheidswert）に隠遁した。アーデルハイトの健康状態が思わしくなかったため、夫妻は後にスイスに移住し、「リンゲン伯爵夫妻」と名乗って暮らした。,jpn,train
"Johnson, at the age of ninety-eight, died in his sleep while at his Glass House retreat on January 25, 2005. He was survived by his partner of 45 years, David Whitney, who died later that year at age 66.",eng,train
欧洲大片的土地和许多古老著名的国家，即使已经陷入或可能陷入秘密警察和纳粹统治的种种罪恶机关的魔掌，我们也毫不动摇，毫不气馁。我们将战斗到底。我们将在法国作战，我们将在海上和大洋中作战，我们将具有愈来愈大的信心和愈来愈强的力量在空中作战；我们将不惜任何代价保卫我们的岛屿。我们将在海滩上作战；我们将在敌人登陆地点作战；我们将在田野和街头作战；我们将在山区作战；我们决不投降。即使这个岛屿或它的大部分被征服并陷入饥饿之中，这是我一分钟也没有相信过的，我们在海外的帝国臣民仍要英国舰队的武装保护之下，继续战斗，直到新世界在上帝认为适当的时候用它全部的力量和能力，来拯救和解放这个旧世界。....,zho,train
"La deuxième des Trois Gorges est celle de Wu. Elle est longue de quarante-cinq kilomètres et offre un paysage composé de douze pics qui ont depuis toujours inspiré les voyageurs et les poètes. Leurs noms évoquent les sentiments qu'ils inspirent puisqu'on trouve le pic de la Déesse, le pic du Phénix volant, le pic du Dragon grimpeur ou encore le pic des Grues assemblées. Les versants de la gorge sont parfois si abrupts qu'ils donnent l'impression que le soleil ne pénètre que rarement jusqu'au fleuve. Après le rocher du Cercueil de fer, le voyageur découvre les rapides de Lint lors de la descente desquels des tourbillons puissants et des piliers calcaires rendent toute navigation périlleuse.",fra,train
2008年（平成20年）度の九州各県リーグ決勝大会では決勝戦で九州総合スポーツカレッジに敗れるも準優勝を果たし、V・ファーレン長崎とホンダロックのJFL昇格に伴い、九州サッカーリーグに自動昇格した。チームとしては九州サッカーリーグへの復帰は1994年（平成6年）度シーズン以来15年ぶりとなった。九州サッカーリーグに昇格した2009年（平成21年）度シーズンでは7位の成績を収め、九州サッカーリーグ残留を決めた。,jpn,train
"당에도 즉위를 알리는 사신을 파견하여, 무열왕 즉위년에 고종(高宗)으로부터 개부의동삼사(開府儀同三司) · 신라왕의 책봉을 받았으며, 무열왕 2년(655년)에 당에 사신을 보내어, 고구려가 백제와 말갈과 더불어 군사를 연합하여 신라의 북쪽 변경의 33개 성을 탈취하였음을 전하면서 구원을 요청하였고, 당은 3월, 영주도독(營州都督) 정명진(程名振)과 좌우위중랑장(左右衛中郞將) 소정방(蘇定方)을 보내어 고구려를 공격하였다. 또한 무열왕 3년(656년)에는 신라의 개국 공신인 사로 6촌장을 왕으로 추존하였고, 당에서 귀국한 김인문을 군주(軍主)로 삼았으며, 가을 7월에는 김문왕을 다시 당에 보내 조공하게 하였다. 귀국한 뒤 문왕은 무열왕 5년(658년) 정월에 부왕으로부터 집사부의 중시(中侍)로 임명되고, 김인문도 무열왕 6년(659년) 여름 4월에 백제를 치기 위한 원병 파병을 요청하는 사신으로서 당에 파견되는 등, 친족 중심의 내각을 구성하여 왕권을 안정시켰다. 즉위에 절대적으로 기여한 김유신에 대해서는 무열왕 7년(660년) 정월에 상대등(上大等)으로 임명해 왕권을 보다 전제화할 수 있는 계기를 만들었다.",kor,train
"1839: Año de la sequía, el río apenas lleva agua, los molinos para moler el trigo no pueden funcionar. Conforme a la Ley del 20 de septiembre de 1790, los alcaldes deben conducir el agua hacia un destino de utilidad pública.",spa,train
"Chika es una muy tímida estudiante de escuela media a la cual le falta confianza. Pechika tiene un uniforme parecido al de un chef, y trata de usar su estatus de Chica Mágica para aumentar su confianza, sin embargo, esta confianza fue destruida cuando se comparó a sí misma con sus increíbles compañeras de equipo, mas a lo largo de restart, su confianza lentamente aumenta. Ella es miembro del Equipo Clantail, siendo su cocinera ya que es incapaz de pelear al nivel de las otras debido a su habilidad, la cual le permite convertir cualquier cosa que toque con sus manos en comida en un plazo de 5 minutos, mas con el paso del tiempo ella comienza a disfrutar pelear. Ella es la décima Chica Mágica al morir, siendo atravesada por una flecha de Melville mientras protegía a Clantail.",spa,train
"Demain la France : Esquisse d'un ordre international, sous le pseudonyme de Jacquier en collaboration avec Emmanuel Monick sous le pseudonyme de Bruère, Plon, Paris, 1945",fra,train
"At the time of her arrest, Patty Hearst weighed only 87 pounds (40 kg) and was described by Dr. Margaret Singer in October 1975 as ""a low-IQ, low-affect zombie"". Shortly after her arrest, there were some clear signs of trauma and several DSM-5 classifications: her IQ was measured at 112 from 130 previously (a loss of 18 points); there were huge gaps in her memory regarding her pre-Tania life; she was smoking heavily; she had nightmares. Without a mental illness or defect, a person was held fully responsible for any criminal action not done under duress, defined as a clear and present threat of death or serious injury rather than peer pressure or being a low ranking member of a conspiracy. Securing an acquittal on the basis of brainwashing would be completely unprecedented.",eng,train
10日早朝、イギリス海軍の第2駆逐隊がフィヨルド内のドイツ駆逐艦に攻撃をかけた。この第1次ナルヴィク海戦でイギリス側は駆逐艦2隻が沈没、ドイツ側は駆逐艦ヴィルヘルム・ハイドカンプ、アントン・シュミットが撃沈され、データー・フォン・レーダー、ゲオルク・ティーレ、ベルント・フォン・アルニムの3隻も大破した。また、ドイツ駆逐艦は弾薬、燃料の不足が深刻な状態になっていた。,jpn,train
"Luis Augusto Turcios Lima (Guatemala, 23 de noviembre de 1941 - ibídem, 2 de octubre de 1966) fue un militar y luego un comandante guerrillero guatemalteco. Junto a Marco Antonio Yon Sosa se rebeló contra la dictadura del general Miguel Ydígoras Fuentes el 13 de noviembre de 1960, y luego, en 1962, formaron el Movimiento Revolucionario Trece de Noviembre (MR-13). Fue comandante guerrillero hasta su muerte, acaecida en un misterioso accidente automovilístico en el centro de la Ciudad de Guatemala, el 2 de octubre de 1966.",spa,train
"일본의 성씨는 한자 두 글자나 세 글자로 이루어진 복성이 주류이므로, 한국, 중국, 베트남 등 다른 한자문화권 국가의 성(姓)과 구별이 된다. 다만, 일본의 외자성(보통은 훈독하므로 한음절이 아닌 다음절로 발음) 중에는 한·중·베트남과 겹치는 성이 몇몇 있고, 한자의 사용에 따라서는 흡사한 이름이 되는 경우도 간혹 있다.",kor,train
乙酸是一种简单的羧酸，由一個甲基一個羧基組成，是一种重要的化学试剂。在化学工业中，它被用来制造聚对苯二甲酸乙二酯，后者即饮料瓶的主要部分。乙酸也被用来制造电影胶片所需要的醋酸纤维素和木材用胶粘剂中的聚乙酸乙烯酯，以及很多合成纤维和织物。家庭中，乙酸稀溶液常被用作除垢剂。食品工业方面，在食品添加剂列表E260中，乙酸是规定的一种酸度调节剂。,zho,train
"Gary Lee y Lorene Stone sugieren que la mayoría de los matrimonios de adultos en la historia moderna reciente, están en algún grado entre ser un ejemplo de matrimonio arreglado y un matrimonio autónomo, en parte porque el matrimonio es una institución social.[27]​Del mismo modo, Broude y Greene, después de estudiar 142 culturas de todo el mundo, informaron que 130 culturas tienen elementos de matrimonio arreglado.[28]​",spa,train
"The girls' track and field team won the New Jersey Group IV indoor relay state championship in 1982, 1983, 1984, 1994, 1996, 1997, 1998, 2004, 2013 and 2014; the 10 state titles are ties for the most won by any girls track program. The boys' track team placed 5th at the Nike Indoor Nationals in the 4x400 meter relay in 2009, making it the best in history for Columbia boys and breaking a school record. In the 2010 outdoor season, both the girls' and boys' teams went to the New Balance Outdoor Nationals, where the girls' team won, making them #1 in the country, and the boys placed 6th.",eng,train
"Le coût moyen d'un recrutement externe en France serait en moyenne de 8 000 euros en 2011, c'est-à-dire environ 30 % de la rémunération annuelle brute.",fra,train
